"date","location_long","location_short","gt_source","cum.death","inc.death"
2020-01-23,"Mauritania","MRT","JHU",0,0
2020-01-23,"Mauritius","MUS","JHU",0,0
2020-01-23,"Mexico","MEX","JHU",0,0
2020-01-23,"Moldova","MDA","JHU",0,0
2020-01-23,"Monaco","MCO","JHU",0,0
2020-01-23,"Mongolia","MNG","JHU",0,0
2020-01-23,"Montenegro","MNE","JHU",0,0
2020-01-23,"Morocco","MAR","JHU",0,0
2020-01-23,"Mozambique","MOZ","JHU",0,0
2020-01-23,"MS Zaandam","MS Zaandam","JHU",0,0
2020-01-23,"Myanmar (Burma)","MMR","JHU",0,0
2020-01-23,"Namibia","NAM","JHU",0,0
2020-01-23,"Nepal","NPL","JHU",0,0
2020-01-23,"Netherlands","NLD","JHU",0,0
2020-01-23,"New Zealand","NZL","JHU",0,0
2020-01-23,"Nicaragua","NIC","JHU",0,0
2020-01-23,"Niger","NER","JHU",0,0
2020-01-23,"Nigeria","NGA","JHU",0,0
2020-01-23,"Norway","NOR","JHU",0,0
2020-01-23,"Oman","OMN","JHU",0,0
2020-01-23,"Pakistan","PAK","JHU",0,0
2020-01-23,"Palestinian Territories","PSE","JHU",0,0
2020-01-23,"Panama","PAN","JHU",0,0
2020-01-23,"Papua New Guinea","PNG","JHU",0,0
2020-01-23,"Paraguay","PRY","JHU",0,0
2020-01-23,"Peru","PER","JHU",0,0
2020-01-23,"Philippines","PHL","JHU",0,0
2020-01-23,"Poland","POL","JHU",0,0
2020-01-23,"Portugal","PRT","JHU",0,0
2020-01-23,"Qatar","QAT","JHU",0,0
2020-01-23,"Romania","ROU","JHU",0,0
2020-01-23,"Russia","RUS","JHU",0,0
2020-01-23,"Rwanda","RWA","JHU",0,0
2020-01-23,"San Marino","SMR","JHU",0,0
2020-01-23,"São Tomé & Príncipe","STP","JHU",0,0
2020-01-23,"Saudi Arabia","SAU","JHU",0,0
2020-01-23,"Senegal","SEN","JHU",0,0
2020-01-23,"Serbia","SRB","JHU",0,0
2020-01-23,"Seychelles","SYC","JHU",0,0
2020-01-23,"Sierra Leone","SLE","JHU",0,0
2020-01-23,"Singapore","SGP","JHU",0,0
2020-01-23,"Slovakia","SVK","JHU",0,0
2020-01-23,"Slovenia","SVN","JHU",0,0
2020-01-23,"Somalia","SOM","JHU",0,0
2020-01-23,"South Africa","ZAF","JHU",0,0
2020-01-23,"South Korea","KOR","JHU",0,0
2020-01-23,"South Sudan","SSD","JHU",0,0
2020-01-23,"Spain","ESP","JHU",0,0
2020-01-23,"Sri Lanka","LKA","JHU",0,0
2020-01-23,"St. Kitts & Nevis","KNA","JHU",0,0
2020-01-23,"St. Lucia","LCA","JHU",0,0
2020-01-23,"St. Vincent & Grenadines","VCT","JHU",0,0
2020-01-23,"Sudan","SDN","JHU",0,0
2020-01-23,"Suriname","SUR","JHU",0,0
2020-01-23,"Swaziland","SWZ","JHU",0,0
2020-01-23,"Sweden","SWE","JHU",0,0
2020-01-23,"Switzerland","CHE","JHU",0,0
2020-01-23,"Syria","SYR","JHU",0,0
2020-01-23,"Taiwan","TWN","JHU",0,0
2020-01-23,"Tajikistan","TJK","JHU",0,0
2020-01-23,"Tanzania","TZA","JHU",0,0
2020-01-23,"Thailand","THA","JHU",0,0
2020-01-23,"Timor-Leste","TLS","JHU",0,0
2020-01-23,"Togo","TGO","JHU",0,0
2020-01-23,"Trinidad & Tobago","TTO","JHU",0,0
2020-01-23,"Tunisia","TUN","JHU",0,0
2020-01-23,"Turkey","TUR","JHU",0,0
2020-01-23,"Uganda","UGA","JHU",0,0
2020-01-23,"Ukraine","UKR","JHU",0,0
2020-01-23,"United Arab Emirates","ARE","JHU",0,0
2020-01-23,"United Kingdom","GBR","JHU",0,0
2020-01-23,"United States","USA","JHU",0,0
2020-01-23,"Uruguay","URY","JHU",0,0
2020-01-23,"Uzbekistan","UZB","JHU",0,0
2020-01-23,"Vatican City","VAT","JHU",0,0
2020-01-23,"Venezuela","VEN","JHU",0,0
2020-01-23,"Vietnam","VNM","JHU",0,0
2020-01-23,"Western Sahara","ESH","JHU",0,0
2020-01-23,"Yemen","YEM","JHU",0,0
2020-01-23,"Zambia","ZMB","JHU",0,0
2020-01-23,"Zimbabwe","ZWE","JHU",0,0
2020-01-24,"Afghanistan","AFG","JHU",0,0
2020-01-24,"Albania","ALB","JHU",0,0
2020-01-24,"Algeria","DZA","JHU",0,0
2020-01-24,"Andorra","AND","JHU",0,0
2020-01-24,"Angola","AGO","JHU",0,0
2020-01-24,"Antigua & Barbuda","ATG","JHU",0,0
2020-01-24,"Argentina","ARG","JHU",0,0
2020-01-24,"Armenia","ARM","JHU",0,0
2020-01-24,"Australia","AUS","JHU",0,0
2020-01-24,"Austria","AUT","JHU",0,0
2020-01-24,"Azerbaijan","AZE","JHU",0,0
2020-01-24,"Bahamas","BHS","JHU",0,0
2020-01-24,"Bahrain","BHR","JHU",0,0
2020-01-24,"Bangladesh","BGD","JHU",0,0
2020-01-24,"Barbados","BRB","JHU",0,0
2020-01-24,"Belarus","BLR","JHU",0,0
2020-01-24,"Belgium","BEL","JHU",0,0
2020-01-24,"Belize","BLZ","JHU",0,0
2020-01-24,"Benin","BEN","JHU",0,0
2020-01-24,"Bhutan","BTN","JHU",0,0
2020-01-24,"Bolivia","BOL","JHU",0,0
2020-01-24,"Bosnia & Herzegovina","BIH","JHU",0,0
2020-01-24,"Botswana","BWA","JHU",0,0
2020-01-24,"Brazil","BRA","JHU",0,0
2020-01-24,"Brunei","BRN","JHU",0,0
2020-01-24,"Bulgaria","BGR","JHU",0,0
2020-01-24,"Burkina Faso","BFA","JHU",0,0
2020-01-24,"Burundi","BDI","JHU",0,0
2020-01-24,"Cambodia","KHM","JHU",0,0
2020-01-24,"Cameroon","CMR","JHU",0,0
2020-01-24,"Canada","CAN","JHU",0,0
2020-01-24,"Cape Verde","CPV","JHU",0,0
2020-01-24,"Central African Republic","CAF","JHU",0,0
2020-01-24,"Chad","TCD","JHU",0,0
2020-01-24,"Chile","CHL","JHU",0,0
2020-01-24,"China","CHN","JHU",26,8
2020-01-24,"Colombia","COL","JHU",0,0
2020-01-24,"Comoros","COM","JHU",0,0
2020-01-24,"Congo - Brazzaville","COG","JHU",0,0
2020-01-24,"Congo - Kinshasa","COD","JHU",0,0
2020-01-24,"Costa Rica","CRI","JHU",0,0
2020-01-24,"Côte d’Ivoire","CIV","JHU",0,0
2020-01-24,"Croatia","HRV","JHU",0,0
2020-01-24,"Cuba","CUB","JHU",0,0
2020-01-24,"Cyprus","CYP","JHU",0,0
2020-01-24,"Czechia","CZE","JHU",0,0
2020-01-24,"Denmark","DNK","JHU",0,0
2020-01-24,"Diamond Princess","Diamond Princess","JHU",0,0
2020-01-24,"Djibouti","DJI","JHU",0,0
2020-01-24,"Dominica","DMA","JHU",0,0
2020-01-24,"Dominican Republic","DOM","JHU",0,0
2020-01-24,"Ecuador","ECU","JHU",0,0
2020-01-24,"Egypt","EGY","JHU",0,0
2020-01-24,"El Salvador","SLV","JHU",0,0
2020-01-24,"Equatorial Guinea","GNQ","JHU",0,0
2020-01-24,"Eritrea","ERI","JHU",0,0
2020-01-24,"Estonia","EST","JHU",0,0
2020-01-24,"Ethiopia","ETH","JHU",0,0
2020-01-24,"Fiji","FJI","JHU",0,0
2020-01-24,"Finland","FIN","JHU",0,0
2020-01-24,"France","FRA","JHU",0,0
2020-01-24,"Gabon","GAB","JHU",0,0
2020-01-24,"Gambia","GMB","JHU",0,0
2020-01-24,"Georgia","GEO","JHU",0,0
2020-01-24,"Germany","DEU","JHU",0,0
2020-01-24,"Ghana","GHA","JHU",0,0
2020-01-24,"Greece","GRC","JHU",0,0
2020-01-24,"Grenada","GRD","JHU",0,0
2020-01-24,"Guatemala","GTM","JHU",0,0
2020-01-24,"Guinea","GIN","JHU",0,0
2020-01-24,"Guinea-Bissau","GNB","JHU",0,0
2020-01-24,"Guyana","GUY","JHU",0,0
2020-01-24,"Haiti","HTI","JHU",0,0
2020-01-24,"Honduras","HND","JHU",0,0
2020-01-24,"Hungary","HUN","JHU",0,0
2020-01-24,"Iceland","ISL","JHU",0,0
2020-01-24,"India","IND","JHU",0,0
2020-01-24,"Indonesia","IDN","JHU",0,0
2020-01-24,"Iran","IRN","JHU",0,0
2020-01-24,"Iraq","IRQ","JHU",0,0
2020-01-24,"Ireland","IRL","JHU",0,0
2020-01-24,"Israel","ISR","JHU",0,0
2020-01-24,"Italy","ITA","JHU",0,0
2020-01-24,"Jamaica","JAM","JHU",0,0
2020-01-24,"Japan","JPN","JHU",0,0
2020-01-24,"Jordan","JOR","JHU",0,0
2020-01-24,"Kazakhstan","KAZ","JHU",0,0
2020-01-24,"Kenya","KEN","JHU",0,0
2020-01-24,"Kosovo","KSV","JHU",0,0
2020-01-24,"Kuwait","KWT","JHU",0,0
2020-01-24,"Kyrgyzstan","KGZ","JHU",0,0
2020-01-24,"Laos","LAO","JHU",0,0
2020-01-24,"Latvia","LVA","JHU",0,0
2020-01-24,"Lebanon","LBN","JHU",0,0
2020-01-24,"Lesotho","LSO","JHU",0,0
2020-01-24,"Liberia","LBR","JHU",0,0
2020-01-24,"Libya","LBY","JHU",0,0
2020-01-24,"Liechtenstein","LIE","JHU",0,0
2020-01-24,"Lithuania","LTU","JHU",0,0
2020-01-24,"Luxembourg","LUX","JHU",0,0
2020-01-24,"Macedonia","MKD","JHU",0,0
2020-01-24,"Madagascar","MDG","JHU",0,0
2020-01-24,"Malawi","MWI","JHU",0,0
2020-01-24,"Malaysia","MYS","JHU",0,0
2020-01-24,"Maldives","MDV","JHU",0,0
2020-01-24,"Mali","MLI","JHU",0,0
2020-01-24,"Malta","MLT","JHU",0,0
2020-01-24,"Mauritania","MRT","JHU",0,0
2020-01-24,"Mauritius","MUS","JHU",0,0
2020-01-24,"Mexico","MEX","JHU",0,0
